Chamarajpet,"28591"
Sadashiva Nagar,"570"
Nandini Layout,"37401"
Bellary Road,"26865"
Mico Layout,"28630"
Vijaya Bank Colony,"45014"
HSR Layout Sector 5,"44876"
Seshadripuram,"594"
Ananth Nagar,"44999"
Richmond Road,"559"
Garvebhavi Palya,"44752"
Immadihalli,"44575"
Srinagar,"42717"
Sompura,"44602"
Jakkasandra,"44880"
Chikkalasandra,"44324"
Jayamahal,"322"
Dollars Colony,"227"
Kempapura,"45220"
Dodda Banasvadi,"26958"
Nandi Hills,"27946"
Choodasandra,"36581"
Majestic,"36592"
Cambridge Layout,"142"
Kammasandra,"42511"
Hesaraghatta,"35966"
Roopena Agrahara,"44912"
Rajanukunte,"544"
Jakkuru Layout,"44667"
RMV Extension,"27109"
T Dasarahalli,"39390"
HSR Layout Sector 6,"44877"
JP Nagar Phase 4,"44459"
HAL Layout2,"274"
Lavelle Road,"401"
Maruthi Nagar,"433"
Budigere Road,"45203"
Nagasandra,"36732"
Ramagondanahalli,"44574"
Chikbanavara,"35797"
Infantry Road,"35869"
Jalahalli Cross,"37453"
Byrathi,"44774"
Jagadish Nagar,"41655"
Hosakerehalli,"38778"
Subramanyapura,"35875"
Neeladri Nagar,"44610"
Sampangi Rama Nagar,"27582"
NRI Layout,"41916"
Rayasandra,"41172"
Laggere,"36539"
Srirampura,"44696"
Venkatapura,"32058"
R.K. Hegde Nagar,"44221"
Langford Town,"719"
Viveka Nagar,"42782"
Uttarahalli Main Road,"45234"
Chelekare,"45018"
Neelasandra,"41536"
JP Nagar Phase 3,"44458"
HSR Layout Sector 4,"44875"
Jagajeevanram Nagar,"314"
RMV,"29111"
BEML Layout Raja Rajeshwari Nagar,"35909"
Carmelaram,"44588"
Kartik Nagar,"45112"
Mallathahalli,"36272"
Hosapalaya,"45158"
Thippasandra,"652"
Bagepalli,"36698"
Cunningham Road,"11"
Doddabommasandra,"36293"
Ullal,"36261"
Dasarahalli Main Road,"33209"
Vinayaka Layout,"44583"
Vasanthapura,"45215"
Sudhama Nagar,"35882"
Richards Town,"5356"
Jalahalli East,"29041"
Kodathi,"44589"
Doddaballapur,"26960"
Gattahalli,"44988"
Balagere,"44955"
Kamaksipalya,"45248"
Chikka Tirupathi,"36553"
Doddakallasandra,"44932"
Commercial Street,"184"
Bidadi,"121"
Banashankari 5th Stage,"45341"
Kadugondanahalli,"35444"
Andrahalli,"42783"
Bagalakunte,"41662"
Chikkaballapur,"4629"
lal bagh,"24241"
Gauribidanur,"31119"
Nagarbhavi Circle,"25730"
Annapurneshwari Nagar,"36260"
Gandhi Nagar,"41926"
Ashok Nagar,"35887"
Soukya Road,"45292"
Vittal Mallya Road,"699"
Yelachena Halli,"713"
Bhuvaneshwari Nagar,"120"
Kamanahalli,"43155"
Teacher's Colony,"44879"
St. Johns Road,"620"
Cholanayakanahalli,"44687"
Nagadevanahalli,"45622"
Bidrahalli,"36552"
Bikasipura,"45212"
Jangamakote,"24330"
Sunkadakatte,"36599"
Chikkajala,"37073"
Devinagar,"44454"
Nayanda Halli,"44681"
Kalena Agrahara,"42154"
Malur-Hosur Road,"36578"
Kadabagere,"42496"
Guttahalli,"43562"
Attiguppe,"36271"
Bhoopasandra,"45081"
Bannerghatta Jigani Road,"45584"
Sadduguntepalya,"42498"
Huskur,"42598"
Thurahalli,"34565"
Nallurhalli,"44555"
HMT Layout,"44946"
Kacharakanahalli,"45273"
Bileshivale,"45448"
Maruthi Nagar (Yelahanka),"44829"
Shettihalli,"27171"
Haragadde,"41660"
K Channasandra,"44611"
Kannamangala,"42539"
Byatarayanapura,"44983"
Talaghattapura,"45284"
Boyalahalli,"45366"
Hombegowda Nagar,"291"
Rajiv Gandhi Nagar,"44985"
Kamala Nagar,"40877"
Doddakammanahalli,"44580"
Kempegowda Nagar,"29025"
Attibele - Anekal Road,"45253"
Kanakapura,"358"
Gubalala,"45257"
Medihalli,"45573"
Kithiganur,"45200"
Brigade Road,"35867"
Jnana Ganga Nagar,"36540"
Chikkabellandur,"44591"
Koralur,"45435"
Kattigenahalli,"36294"
Dodda Aalada Mara Road,"36623"
Chikkabidarakallu,"43943"
Silver Springs Layout,"44635"
Kaggalipura,"44945"
Dooravani Nagar,"45143"
Palace Road,"518"
Prashanth Nagar,"30881"
Nobo Nagar,"45080"
Kodigehalli - KR Puram,"45455"
SMV Layout,"35878"
Suryanagar,"45136"
Kumbalgodu,"45303"
Bommenahalli,"42682"
Munireddy Layout,"44708"
Chikkathoguru,"45384"
Baiyyappanahalli,"41219"
